timestamp_unix,elapsed_s,scrape_ok,prompt_tokens_total,generation_tokens_total,requests_running,requests_waiting,requests_finished_total,requests_error_total,error
1787165364.252448,0.000050,1,0.0,0.0,0.0,0.0,0.0,0.0,
1787165365.252603,1.000205,1,131.0,81.0,11.0,0.0,0.0,0.0,
1787165366.252495,2.000097,1,326.0,442.0,24.0,0.0,0.0,0.0,
1787165367.252470,3.000072,1,521.0,1070.0,37.0,0.0,0.0,0.0,
1787165368.252484,4.000086,1,716.0,1968.0,49.0,0.0,0.0,0.0,
1787165369.252473,5.000074,1,925.0,3133.0,62.0,0.0,1.0,0.0,
1787165370.252470,6.000072,1,1119.0,4485.0,73.0,0.0,4.0,0.0,
1787165371.252428,7.000030,1,1401.0,6069.0,84.0,0.0,12.0,0.0,
1787165372.252603,8.000204,1,1717.0,8001.0,98.0,0.0,18.0,0.0,
1787165373.252531,9.000133,1,1999.0,10087.0,109.0,0.0,24.0,0.0,
1787165374.252429,10.000030,1,2347.0,12531.0,122.0,0.0,32.0,0.0,
1787165375.252462,11.000064,1,2759.0,15111.0,138.0,0.0,41.0,0.0,
1787165376.252460,12.000062,1,3153.0,18067.0,147.0,0.0,57.0,0.0,
1787165377.252458,13.000060,1,3647.0,21114.0,158.0,0.0,75.0,0.0,
1787165378.252524,14.000125,1,4127.0,24414.0,170.0,0.0,92.0,0.0,
1787165379.252469,15.000070,1,4606.0,27977.0,182.0,0.0,108.0,0.0,
1787165380.252422,16.000024,1,5106.0,31875.0,195.0,0.0,126.0,0.0,
1787165381.252460,17.000061,1,5702.0,36017.0,209.0,0.0,147.0,0.0,
1787165382.252470,18.000072,1,6217.0,40331.0,222.0,0.0,166.0,0.0,
1787165383.252459,19.000061,1,6634.0,45107.0,233.0,0.0,183.0,0.0,
1787165384.252459,20.000061,1,7348.0,49889.0,247.0,0.0,210.0,0.0,
1787165385.252457,21.000058,1,7767.0,54812.0,241.0,0.0,240.0,0.0,
1787165386.252471,22.000073,1,8262.0,59985.0,246.0,0.0,264.0,0.0,
1787165387.252470,23.000072,1,8808.0,64898.0,247.0,0.0,296.0,0.0,
1787165388.252459,24.000061,1,9285.0,69775.0,240.0,0.0,333.0,0.0,
