timestamp_unix,elapsed_s,scrape_ok,prompt_tokens_total,generation_tokens_total,requests_running,requests_waiting,requests_finished_total,requests_error_total,error
1787168232.470385,0.000048,1,0.0,0.0,0.0,0.0,0.0,0.0,
1787168233.470553,1.000216,1,0.0,0.0,0.0,0.0,0.0,0.0,
1787168234.470412,2.000075,1,1016.0,399.0,71.0,0.0,0.0,0.0,
1787168235.470415,3.000078,1,1618.0,2034.0,110.0,0.0,0.0,0.0,
1787168236.470442,4.000105,1,2264.0,4721.0,148.0,0.0,0.0,0.0,
1787168237.470414,5.000076,1,2927.0,8216.0,185.0,0.0,1.0,0.0,
1787168238.470428,6.000091,1,3667.0,12288.0,224.0,0.0,8.0,0.0,
1787168239.470422,7.000085,1,4571.0,17357.0,263.0,0.0,24.0,0.0,
1787168240.470418,8.000080,1,5559.0,22937.0,299.0,0.0,46.0,0.0,
1787168241.470424,9.000086,1,6582.0,29597.0,338.0,0.0,67.0,0.0,
1787168242.470410,10.000072,1,7713.0,36684.0,373.0,0.0,100.0,0.0,
1787168243.470415,11.000078,1,8802.0,44527.0,413.0,0.0,128.0,0.0,
1787168244.470410,12.000072,1,9959.0,53125.0,451.0,0.0,159.0,0.0,
1787168245.470426,13.000088,1,11453.0,62462.0,489.0,0.0,213.0,0.0,
1787168246.470411,14.000074,1,12951.0,71542.0,524.0,0.0,266.0,0.0,
1787168247.470417,15.000080,1,14469.0,81308.0,564.0,0.0,315.0,0.0,
1787168248.470434,16.000097,1,15890.0,91186.0,600.0,0.0,359.0,0.0,
1787168249.470441,17.000103,1,17346.0,101713.0,640.0,0.0,403.0,0.0,
1787168250.470415,18.000078,1,18935.0,112214.0,679.0,0.0,456.0,0.0,
1787168251.470409,19.000072,1,20524.0,122616.0,709.0,0.0,516.0,0.0,
1787168252.470623,20.000286,1,22351.0,133571.0,753.0,0.0,573.0,0.0,
1787168253.470422,21.000084,1,23723.0,145708.0,761.0,0.0,638.0,0.0,
1787168254.470407,22.000070,1,24831.0,157102.0,760.0,0.0,702.0,0.0,
1787168255.470414,23.000077,1,25688.0,168531.0,759.0,0.0,749.0,0.0,
1787168256.470418,24.000081,1,26671.0,179934.0,763.0,0.0,803.0,0.0,
1787168257.470407,25.000070,1,27769.0,190565.0,760.0,0.0,867.0,0.0,
1787168258.470409,26.000072,1,28863.0,201958.0,760.0,0.0,930.0,0.0,
1787168259.470427,27.000089,1,30074.0,213345.0,755.0,0.0,1000.0,0.0,
1787168260.470410,28.000073,1,31416.0,223946.0,758.0,0.0,1075.0,0.0,
1787168261.470417,29.000080,1,32687.0,235320.0,758.0,0.0,1147.0,0.0,
1787168262.470414,30.000077,1,33992.0,245931.0,764.0,0.0,1213.0,0.0,
1787168263.470420,31.000082,1,34922.0,257346.0,763.0,0.0,1266.0,0.0,
1787168264.470478,32.000140,1,36136.0,267954.0,751.0,0.0,1346.0,0.0,
