timestamp_unix,elapsed_s,scrape_ok,prompt_tokens_total,generation_tokens_total,requests_running,requests_waiting,requests_finished_total,requests_error_total,error
1787674015.189085,0.000048,1,0.0,0.0,0.0,0.0,0.0,0.0,
1787674016.189114,1.000077,1,281.0,168.0,22.0,0.0,0.0,0.0,
1787674017.189107,2.000071,1,671.0,877.0,47.0,0.0,0.0,0.0,
1787674018.189101,3.000065,1,1061.0,2127.0,73.0,0.0,0.0,0.0,
1787674019.189107,4.000071,1,1436.0,3824.0,98.0,0.0,0.0,0.0,
1787674020.189104,5.000067,1,1873.0,6142.0,124.0,0.0,0.0,0.0,
1787674021.189096,6.000060,1,2298.0,8862.0,149.0,0.0,0.0,0.0,
1787674022.189100,7.000064,1,2723.0,12082.0,174.0,0.0,0.0,0.0,
1787674023.189106,8.000069,1,3165.0,15996.0,200.0,0.0,0.0,0.0,
1787674024.189102,9.000066,1,3607.0,20457.0,226.0,0.0,0.0,0.0,
1787674025.189094,10.000057,1,4015.0,25210.0,251.0,0.0,0.0,0.0,
1787674026.189107,11.000070,1,4165.0,30805.0,254.0,0.0,5.0,0.0,
1787674027.189101,12.000065,1,4275.0,36633.0,251.0,0.0,15.0,0.0,
1787674028.189095,13.000059,1,4544.0,41900.0,250.0,0.0,32.0,0.0,
1787674029.189097,14.000061,1,4767.0,47440.0,250.0,0.0,46.0,0.0,
1787674030.189107,15.000071,1,5104.0,52910.0,243.0,0.0,74.0,0.0,
1787674031.189108,16.000072,1,5610.0,58092.0,250.0,0.0,98.0,0.0,
1787674032.189110,17.000073,1,5910.0,63579.0,247.0,0.0,120.0,0.0,
1787674033.189105,18.000068,1,6480.0,68723.0,246.0,0.0,158.0,0.0,
1787674034.189104,19.000067,1,6848.0,74216.0,250.0,0.0,173.0,0.0,
1787674035.189101,20.000065,1,7236.0,79450.0,248.0,0.0,198.0,0.0,
1787674036.189104,21.000067,1,7627.0,84919.0,251.0,0.0,219.0,0.0,
1787674037.189109,22.000072,1,7963.0,90160.0,250.0,0.0,240.0,0.0,
1787674038.189105,23.000068,1,8363.0,95638.0,255.0,0.0,260.0,0.0,
1787674039.189096,24.000059,1,8576.0,101201.0,251.0,0.0,274.0,0.0,
1787674040.189096,25.000060,1,8851.0,106733.0,252.0,0.0,290.0,0.0,
1787674041.189097,26.000060,1,9080.0,112513.0,249.0,0.0,307.0,0.0,
1787674042.189100,27.000063,1,9451.0,118005.0,250.0,0.0,330.0,0.0,
1787674043.189101,28.000065,1,9677.0,123275.0,249.0,0.0,345.0,0.0,
1787674044.189106,29.000069,1,10056.0,128771.0,248.0,0.0,368.0,0.0,
1787674045.189103,30.000066,1,10509.0,133921.0,249.0,0.0,397.0,0.0,
1787674046.189226,31.000189,1,10961.0,139124.0,251.0,0.0,420.0,0.0,
1787674047.189096,32.000060,1,11398.0,144607.0,248.0,0.0,448.0,0.0,
1787674048.189097,33.000061,1,11752.0,149847.0,250.0,0.0,468.0,0.0,
1787674049.189097,34.000061,1,12119.0,155303.0,250.0,0.0,490.0,0.0,
1787674050.189102,35.000066,1,12387.0,160817.0,249.0,0.0,507.0,0.0,
1787674051.189095,36.000058,1,12699.0,166315.0,251.0,0.0,524.0,0.0,
1787674052.189097,37.000060,1,13024.0,171528.0,247.0,0.0,548.0,0.0,
1787674053.189094,38.000058,1,13433.0,176996.0,247.0,0.0,572.0,0.0,
1787674054.189099,39.000063,1,13676.0,182478.0,247.0,0.0,588.0,0.0,
1787674055.189106,40.000070,1,14041.0,187983.0,253.0,0.0,604.0,0.0,
1787674056.189109,41.000072,1,14337.0,193476.0,247.0,0.0,628.0,0.0,
1787674057.189106,42.000069,1,14684.0,198694.0,245.0,0.0,651.0,0.0,
1787674058.189104,43.000068,1,14987.0,204187.0,245.0,0.0,670.0,0.0,
1787674059.189118,44.000081,1,15419.0,209661.0,250.0,0.0,689.0,0.0,
1787674060.189103,45.000066,1,15872.0,214865.0,250.0,0.0,716.0,0.0,
1787674061.189095,46.000058,1,16308.0,220305.0,250.0,0.0,743.0,0.0,
1787674062.189103,47.000067,1,16706.0,225521.0,250.0,0.0,766.0,0.0,
1787674063.189098,48.000061,1,17005.0,230998.0,250.0,0.0,783.0,0.0,
1787674064.189100,49.000063,1,17370.0,236231.0,252.0,0.0,802.0,0.0,
1787674065.189182,50.000146,1,17561.0,241769.0,245.0,0.0,819.0,0.0,
1787674066.189105,51.000068,1,17960.0,247245.0,253.0,0.0,834.0,0.0,
1787674067.189128,52.000092,1,18274.0,252731.0,251.0,0.0,855.0,0.0,
1787674068.189101,53.000065,1,18607.0,258231.0,246.0,0.0,878.0,0.0,
1787674069.189110,54.000073,1,19047.0,263705.0,248.0,0.0,901.0,0.0,
1787674070.189184,55.000148,1,19347.0,268949.0,248.0,0.0,920.0,0.0,
1787674071.189095,56.000058,1,19718.0,274458.0,247.0,0.0,940.0,0.0,
1787674072.189093,57.000057,1,20142.0,279621.0,251.0,0.0,963.0,0.0,
1787674073.189096,58.000059,1,20621.0,285055.0,246.0,0.0,994.0,0.0,
1787674074.189100,59.000063,1,21009.0,290292.0,251.0,0.0,1010.0,0.0,
1787674075.189096,60.000059,1,21414.0,295780.0,253.0,0.0,1031.0,0.0,
1787674076.189081,61.000045,1,21729.0,301005.0,252.0,0.0,1054.0,0.0,
1787674077.189102,62.000065,1,22026.0,306530.0,247.0,0.0,1072.0,0.0,
1787674078.189152,63.000116,1,22408.0,312022.0,250.0,0.0,1091.0,0.0,
1787674079.189107,64.000070,1,22672.0,317281.0,246.0,0.0,1111.0,0.0,
1787674080.189107,65.000071,1,23111.0,322732.0,247.0,0.0,1136.0,0.0,
1787674081.189104,66.000067,1,23493.0,327984.0,248.0,0.0,1155.0,0.0,
1787674082.189107,67.000071,1,23900.0,333455.0,250.0,0.0,1175.0,0.0,
1787674083.189109,68.000073,1,24270.0,338939.0,250.0,0.0,1196.0,0.0,
1787674084.189104,69.000067,1,24537.0,344190.0,244.0,0.0,1217.0,0.0,
1787674085.189106,70.000069,1,24975.0,349643.0,249.0,0.0,1238.0,0.0,
1787674086.189104,71.000067,1,25382.0,355105.0,247.0,0.0,1262.0,0.0,
1787674087.189108,72.000072,1,25818.0,360327.0,249.0,0.0,1285.0,0.0,
1787674088.189104,73.000067,1,26189.0,365772.0,251.0,0.0,1307.0,0.0,
1787674089.189108,74.000072,1,26538.0,371201.0,249.0,0.0,1326.0,0.0,
1787674090.189108,75.000072,1,26870.0,376516.0,249.0,0.0,1345.0,0.0,
1787674091.189105,76.000068,1,27222.0,382246.0,253.0,0.0,1364.0,0.0,
1787674092.189104,77.000067,1,27465.0,387775.0,250.0,0.0,1378.0,0.0,
1787674093.189096,78.000060,1,27852.0,392978.0,245.0,0.0,1407.0,0.0,
1787674094.189095,79.000058,1,28311.0,398420.0,242.0,0.0,1435.0,0.0,
1787674095.189093,80.000056,1,28927.0,403554.0,250.0,0.0,1461.0,0.0,
1787674096.189095,81.000059,1,29227.0,408802.0,247.0,0.0,1481.0,0.0,
1787674097.189094,82.000057,1,29596.0,414275.0,248.0,0.0,1501.0,0.0,
1787674098.189107,83.000070,1,29933.0,419804.0,252.0,0.0,1517.0,0.0,
1787674099.189107,84.000070,1,30177.0,425332.0,250.0,0.0,1534.0,0.0,
1787674100.189093,85.000056,1,30510.0,430839.0,249.0,0.0,1552.0,0.0,
1787674101.189093,86.000056,1,30934.0,436058.0,247.0,0.0,1578.0,0.0,
1787674102.189097,87.000060,1,31316.0,441531.0,247.0,0.0,1602.0,0.0,
