timestamp_unix,elapsed_s,scrape_ok,prompt_tokens_total,generation_tokens_total,requests_running,requests_waiting,requests_finished_total,requests_error_total,error
1787161008.543176,0.000052,1,104.0,640.0,0.0,0.0,20.0,0.0,
1787161009.543366,1.000242,1,169.0,707.0,4.0,0.0,21.0,0.0,
1787161010.543198,2.000075,1,369.0,2331.0,19.0,0.0,21.0,0.0,
1787161011.543215,3.000092,1,533.0,5337.0,28.0,0.0,22.0,0.0,
1787161012.543196,4.000072,1,854.0,7340.0,38.0,0.0,36.0,0.0,
1787161013.543201,5.000077,1,1079.0,10566.0,47.0,0.0,40.0,0.0,
1787161014.543199,6.000075,1,1289.0,14203.0,57.0,0.0,45.0,0.0,
1787161015.543187,7.000063,1,1454.0,15917.0,65.0,0.0,47.0,0.0,
1787161016.543197,8.000073,1,1792.0,18761.0,73.0,0.0,65.0,0.0,
1787161017.543198,9.000074,1,2173.0,21820.0,83.0,0.0,75.0,0.0,
1787161018.543187,10.000063,1,2461.0,26001.0,95.0,0.0,82.0,0.0,
1787161019.543185,11.000062,1,2753.0,30766.0,102.0,0.0,92.0,0.0,
1787161020.543183,12.000060,1,3050.0,35319.0,114.0,0.0,100.0,0.0,
1787161021.543185,13.000061,1,3396.0,39771.0,122.0,0.0,113.0,0.0,
1787161022.543184,14.000060,1,3757.0,43585.0,132.0,0.0,123.0,0.0,
1787161023.543195,15.000071,1,4268.0,46678.0,142.0,0.0,147.0,0.0,
1787161024.543191,16.000068,1,4614.0,50030.0,151.0,0.0,158.0,0.0,
1787161025.543193,17.000070,1,4960.0,55802.0,160.0,0.0,170.0,0.0,
1787161026.543184,18.000060,1,5321.0,60098.0,171.0,0.0,181.0,0.0,
1787161027.543195,19.000071,1,5702.0,65866.0,181.0,0.0,195.0,0.0,
1787161028.543186,20.000062,1,6070.0,71383.0,190.0,0.0,207.0,0.0,
1787161029.543186,21.000062,1,6352.0,78254.0,191.0,0.0,224.0,0.0,
1787161030.543182,22.000058,1,6730.0,84161.0,190.0,0.0,247.0,0.0,
1787161031.543189,23.000065,1,7060.0,89497.0,188.0,0.0,269.0,0.0,
1787161032.543185,24.000061,1,7604.0,93461.0,191.0,0.0,300.0,0.0,
1787161033.543185,25.000061,1,7966.0,98602.0,190.0,0.0,323.0,0.0,
1787161034.543186,26.000062,1,8328.0,105085.0,191.0,0.0,344.0,0.0,
1787161035.543197,27.000073,1,8690.0,110801.0,188.0,0.0,368.0,0.0,
1787161036.543194,28.000070,1,9040.0,116708.0,191.0,0.0,388.0,0.0,
1787161037.543193,29.000069,1,9389.0,122813.0,192.0,0.0,407.0,0.0,
1787161038.543200,30.000077,1,9654.0,130077.0,190.0,0.0,425.0,0.0,
1787161039.543193,31.000070,1,10079.0,135208.0,190.0,0.0,451.0,0.0,
1787161040.543195,32.000071,1,10513.0,140146.0,189.0,0.0,479.0,0.0,
1787161041.543195,33.000072,1,10875.0,144518.0,190.0,0.0,500.0,0.0,
1787161042.543216,34.000092,1,11252.0,150997.0,191.0,0.0,524.0,0.0,
1787161043.543194,35.000071,1,11614.0,156333.0,191.0,0.0,544.0,0.0,
1787161044.543205,36.000082,1,11993.0,162047.0,191.0,0.0,567.0,0.0,
1787161045.543314,37.000190,1,12361.0,168337.0,190.0,0.0,591.0,0.0,
