timestamp_unix,elapsed_s,scrape_ok,prompt_tokens_total,generation_tokens_total,requests_running,requests_waiting,requests_finished_total,requests_error_total,error
1787162821.745391,0.000046,1,208.0,1280.0,0.0,0.0,40.0,0.0,
1787162822.745429,1.000084,1,325.0,2068.0,9.0,0.0,40.0,0.0,
1787162823.745427,2.000082,1,487.0,3756.0,18.0,0.0,43.0,0.0,
1787162824.745423,3.000078,1,707.0,6094.0,27.0,0.0,48.0,0.0,
1787162825.745418,4.000073,1,914.0,8688.0,38.0,0.0,52.0,0.0,
1787162826.745418,5.000073,1,1181.0,11203.0,47.0,0.0,60.0,0.0,
1787162827.745419,6.000074,1,1448.0,14589.0,57.0,0.0,69.0,0.0,
1787162828.745420,7.000075,1,1735.0,18373.0,66.0,0.0,79.0,0.0,
1787162829.745420,8.000075,1,2006.0,22112.0,76.0,0.0,87.0,0.0,
1787162830.745417,9.000072,1,2341.0,26112.0,85.0,0.0,98.0,0.0,
1787162831.745418,10.000073,1,2691.0,29921.0,93.0,0.0,113.0,0.0,
1787162832.745420,11.000075,1,3060.0,34168.0,102.0,0.0,125.0,0.0,
1787162833.745420,12.000075,1,3468.0,38808.0,114.0,0.0,138.0,0.0,
1787162834.745427,13.000082,1,3780.0,43384.0,124.0,0.0,149.0,0.0,
1787162835.745420,14.000076,1,4157.0,47970.0,133.0,0.0,161.0,0.0,
1787162836.745421,15.000076,1,4518.0,52627.0,142.0,0.0,174.0,0.0,
1787162837.745421,16.000077,1,4925.0,57140.0,150.0,0.0,192.0,0.0,
1787162838.745422,17.000077,1,5334.0,61810.0,159.0,0.0,208.0,0.0,
1787162839.745420,18.000075,1,5775.0,66941.0,171.0,0.0,222.0,0.0,
1787162840.745420,19.000076,1,6174.0,72552.0,180.0,0.0,238.0,0.0,
1787162841.745417,20.000072,1,6620.0,77715.0,189.0,0.0,255.0,0.0,
1787162842.745420,21.000076,1,6966.0,83621.0,191.0,0.0,275.0,0.0,
1787162843.745422,22.000077,1,7278.0,90301.0,189.0,0.0,296.0,0.0,
1787162844.745426,23.000082,1,7656.0,95947.0,192.0,0.0,315.0,0.0,
1787162845.745420,24.000075,1,8015.0,101920.0,190.0,0.0,342.0,0.0,
1787162846.745418,25.000073,1,8455.0,107437.0,189.0,0.0,367.0,0.0,
1787162847.745424,26.000079,1,8832.0,113152.0,191.0,0.0,389.0,0.0,
1787162848.745414,27.000069,1,9260.0,119242.0,190.0,0.0,416.0,0.0,
1787162849.745416,28.000071,1,9676.0,124760.0,191.0,0.0,441.0,0.0,
1787162850.745417,29.000072,1,10088.0,131239.0,190.0,0.0,466.0,0.0,
1787162851.745432,30.000087,1,10383.0,137732.0,192.0,0.0,482.0,0.0,
1787162852.745428,31.000083,1,10762.0,143639.0,191.0,0.0,505.0,0.0,
1787162853.745417,32.000072,1,11074.0,149934.0,189.0,0.0,527.0,0.0,
1787162854.745420,33.000075,1,11562.0,155250.0,189.0,0.0,557.0,0.0,
1787162855.745423,34.000078,1,11971.0,160576.0,191.0,0.0,581.0,0.0,
1787162856.745413,35.000068,1,12365.0,166671.0,191.0,0.0,605.0,0.0,
1787162857.745421,36.000076,1,12830.0,173144.0,190.0,0.0,633.0,0.0,
1787162858.745435,37.000091,1,13211.0,179241.0,190.0,0.0,657.0,0.0,
1787162859.745415,38.000070,1,13571.0,185343.0,191.0,0.0,677.0,0.0,
1787162860.745439,39.000094,1,13883.0,191449.0,192.0,0.0,695.0,0.0,
1787162861.745415,40.000070,1,14244.0,198126.0,191.0,0.0,717.0,0.0,
1787162862.745457,41.000112,1,14699.0,203061.0,192.0,0.0,745.0,0.0,
1787162863.745427,42.000082,1,15076.0,208583.0,190.0,0.0,770.0,0.0,
1787162864.745419,43.000074,1,15454.0,214870.0,189.0,0.0,794.0,0.0,
