timestamp_unix,elapsed_s,scrape_ok,prompt_tokens_total,generation_tokens_total,requests_running,requests_waiting,requests_finished_total,requests_error_total,error
1787164341.744267,0.000046,1,104.0,292.0,0.0,0.0,20.0,0.0,
1787164342.744298,1.000076,1,208.0,379.0,8.0,0.0,20.0,0.0,
1787164343.744307,2.000086,1,340.0,679.0,18.0,0.0,20.0,0.0,
1787164344.744295,3.000073,1,490.0,1198.0,28.0,0.0,20.0,0.0,
1787164345.744292,4.000070,1,640.0,1973.0,37.0,0.0,20.0,0.0,
1787164346.744294,5.000073,1,775.0,2938.0,47.0,0.0,20.0,0.0,
1787164347.744288,6.000067,1,925.0,4121.0,56.0,0.0,20.0,0.0,
1787164348.744298,7.000076,1,1075.0,5524.0,66.0,0.0,20.0,0.0,
1787164349.744295,8.000074,1,1210.0,7146.0,76.0,0.0,20.0,0.0,
1787164350.744293,9.000072,1,1360.0,8989.0,85.0,0.0,20.0,0.0,
1787164351.744293,10.000072,1,1495.0,11050.0,95.0,0.0,20.0,0.0,
1787164352.744247,11.000026,1,1637.0,13229.0,104.0,0.0,20.0,0.0,
1787164353.744299,12.000078,1,1897.0,15604.0,113.0,0.0,27.0,0.0,
1787164354.744291,13.000070,1,2207.0,18185.0,122.0,0.0,36.0,0.0,
1787164355.744295,14.000074,1,2521.0,20973.0,132.0,0.0,46.0,0.0,
1787164356.744292,15.000071,1,2835.0,23973.0,141.0,0.0,55.0,0.0,
1787164357.744292,16.000071,1,3200.0,27323.0,150.0,0.0,70.0,0.0,
1787164358.744288,17.000067,1,3616.0,30592.0,160.0,0.0,83.0,0.0,
1787164359.744291,18.000070,1,3979.0,34365.0,170.0,0.0,96.0,0.0,
1787164360.744306,19.000085,1,4361.0,38197.0,179.0,0.0,109.0,0.0,
1787164361.744288,20.000067,1,4708.0,42241.0,189.0,0.0,121.0,0.0,
1787164362.744283,21.000062,1,5056.0,46421.0,189.0,0.0,142.0,0.0,
1787164363.744292,22.000071,1,5352.0,50607.0,191.0,0.0,159.0,0.0,
1787164364.744244,23.000022,1,5621.0,54801.0,190.0,0.0,175.0,0.0,
1787164365.744288,24.000067,1,5926.0,59154.0,189.0,0.0,196.0,0.0,
1787164366.744278,25.000057,1,6256.0,63365.0,191.0,0.0,212.0,0.0,
1787164367.744278,26.000057,1,6451.0,67562.0,190.0,0.0,226.0,0.0,
1787164368.744294,27.000073,1,6680.0,71758.0,192.0,0.0,239.0,0.0,
1787164369.744282,28.000061,1,7045.0,75939.0,190.0,0.0,262.0,0.0,
1787164370.744281,29.000059,1,7393.0,80118.0,190.0,0.0,285.0,0.0,
1787164371.744275,30.000054,1,7758.0,84303.0,189.0,0.0,305.0,0.0,
1787164372.744286,31.000065,1,8191.0,88476.0,190.0,0.0,330.0,0.0,
1787164373.744280,32.000059,1,8437.0,92664.0,189.0,0.0,348.0,0.0,
1787164374.744280,33.000059,1,8768.0,96853.0,191.0,0.0,364.0,0.0,
1787164375.744280,34.000059,1,9013.0,101046.0,192.0,0.0,379.0,0.0,
1787164376.744277,35.000056,1,9296.0,105236.0,190.0,0.0,397.0,0.0,
1787164377.744277,36.000056,1,9553.0,109428.0,191.0,0.0,413.0,0.0,
1787164378.744281,37.000060,1,9816.0,113620.0,189.0,0.0,430.0,0.0,
1787164379.744278,38.000057,1,10112.0,117810.0,191.0,0.0,446.0,0.0,
1787164380.744279,39.000058,1,10358.0,122003.0,190.0,0.0,462.0,0.0,
1787164381.744280,40.000058,1,10655.0,126187.0,191.0,0.0,481.0,0.0,
1787164382.744274,41.000053,1,11070.0,130364.0,190.0,0.0,505.0,0.0,
1787164383.744280,42.000059,1,11334.0,134557.0,191.0,0.0,520.0,0.0,
1787164384.744243,43.000022,1,11629.0,138744.0,192.0,0.0,538.0,0.0,
1787164385.744298,44.000077,1,11926.0,142930.0,192.0,0.0,557.0,0.0,
1787164386.744229,45.000007,1,12189.0,147123.0,190.0,0.0,574.0,0.0,
1787164387.744277,46.000056,1,12385.0,151324.0,190.0,0.0,586.0,0.0,
1787164388.744272,47.000050,1,12716.0,155509.0,191.0,0.0,604.0,0.0,
1787164389.744261,48.000040,1,12957.0,159701.0,191.0,0.0,620.0,0.0,
1787164390.744271,49.000050,1,13238.0,163888.0,190.0,0.0,639.0,0.0,
1787164391.744281,50.000060,1,13534.0,168081.0,191.0,0.0,654.0,0.0,
1787164392.744278,51.000057,1,13745.0,172275.0,191.0,0.0,669.0,0.0,
1787164393.744279,52.000058,1,14076.0,176459.0,191.0,0.0,689.0,0.0,
1787164394.744294,53.000072,1,14492.0,180638.0,191.0,0.0,712.0,0.0,
1787164395.744405,54.000184,1,14771.0,184826.0,190.0,0.0,731.0,0.0,
1787164396.744275,55.000054,1,15066.0,189015.0,189.0,0.0,749.0,0.0,
1787164397.744299,56.000077,1,15381.0,193197.0,191.0,0.0,768.0,0.0,
1787164398.744294,57.000073,1,15610.0,197397.0,191.0,0.0,780.0,0.0,
1787164399.744292,58.000071,1,15827.0,201786.0,191.0,0.0,794.0,0.0,
1787164400.744265,59.000043,1,16135.0,205970.0,191.0,0.0,814.0,0.0,
1787164401.744294,60.000073,1,16468.0,210154.0,188.0,0.0,835.0,0.0,
1787164402.744291,61.000070,1,16785.0,214534.0,190.0,0.0,853.0,0.0,
1787164403.744292,62.000071,1,17116.0,218722.0,191.0,0.0,870.0,0.0,
1787164404.744294,63.000072,1,17449.0,222906.0,189.0,0.0,891.0,0.0,
1787164405.744294,64.000072,1,17852.0,226892.0,190.0,0.0,913.0,0.0,
1787164406.744308,65.000087,1,18309.0,231064.0,190.0,0.0,940.0,0.0,
1787164407.744298,66.000077,1,18674.0,235438.0,190.0,0.0,960.0,0.0,
1787164408.744297,67.000076,1,19003.0,239439.0,190.0,0.0,980.0,0.0,
1787164409.744300,68.000079,1,19419.0,243612.0,190.0,0.0,1002.0,0.0,
1787164410.744300,69.000079,1,19747.0,247987.0,191.0,0.0,1021.0,0.0,
1787164411.744299,70.000078,1,20044.0,252175.0,191.0,0.0,1039.0,0.0,
1787164412.744260,71.000038,1,20435.0,256158.0,189.0,0.0,1066.0,0.0,
1787164413.744313,72.000091,1,20940.0,260327.0,188.0,0.0,1093.0,0.0,
1787164414.744295,73.000074,1,21360.0,264507.0,189.0,0.0,1115.0,0.0,
1787164415.744293,74.000072,1,21793.0,268680.0,191.0,0.0,1139.0,0.0,
1787164416.744272,75.000051,1,22127.0,272671.0,187.0,0.0,1162.0,0.0,
1787164417.744261,76.000040,1,22634.0,276842.0,192.0,0.0,1185.0,0.0,
1787164418.744269,77.000047,1,22966.0,281026.0,190.0,0.0,1207.0,0.0,
1787164419.744342,78.000121,1,23291.0,285214.0,190.0,0.0,1225.0,0.0,
1787164420.744246,79.000025,1,23534.0,289409.0,189.0,0.0,1240.0,0.0,
1787164421.744280,80.000059,1,23846.0,293597.0,191.0,0.0,1256.0,0.0,
1787164422.744275,81.000053,1,24225.0,297582.0,190.0,0.0,1281.0,0.0,
1787164423.744292,82.000071,1,24539.0,301768.0,189.0,0.0,1301.0,0.0,
1787164424.744297,83.000075,1,24953.0,305947.0,191.0,0.0,1321.0,0.0,
1787164425.744313,84.000092,1,25253.0,310138.0,192.0,0.0,1337.0,0.0,
1787164426.744293,85.000072,1,25633.0,314314.0,190.0,0.0,1362.0,0.0,
1787164427.744296,86.000075,1,26083.0,318490.0,191.0,0.0,1386.0,0.0,
1787164428.744292,87.000070,1,26609.0,322462.0,192.0,0.0,1415.0,0.0,
1787164429.744319,88.000098,1,26839.0,326849.0,187.0,0.0,1433.0,0.0,
1787164430.744296,89.000074,1,27202.0,331032.0,188.0,0.0,1454.0,0.0,
1787164431.744290,90.000069,1,27493.0,335221.0,191.0,0.0,1468.0,0.0,
1787164432.744280,91.000059,1,27944.0,339202.0,191.0,0.0,1494.0,0.0,
1787164433.744262,92.000041,1,28374.0,343374.0,189.0,0.0,1521.0,0.0,
1787164434.744292,93.000071,1,28823.0,347357.0,191.0,0.0,1544.0,0.0,
1787164435.744294,94.000072,1,29087.0,351549.0,190.0,0.0,1561.0,0.0,
1787164436.744308,95.000087,1,29453.0,355736.0,192.0,0.0,1578.0,0.0,
1787164437.744304,96.000083,1,29761.0,359920.0,191.0,0.0,1599.0,0.0,
1787164438.744273,97.000052,1,30113.0,364102.0,189.0,0.0,1621.0,0.0,
1787164439.744272,98.000051,1,30526.0,368086.0,188.0,0.0,1646.0,0.0,
1787164440.744300,99.000079,1,30998.0,372259.0,190.0,0.0,1670.0,0.0,
1787164441.744263,100.000042,1,31260.0,376645.0,190.0,0.0,1685.0,0.0,
1787164442.744268,101.000047,1,31642.0,380825.0,191.0,0.0,1706.0,0.0,
1787164443.744254,102.000033,1,31886.0,385018.0,191.0,0.0,1722.0,0.0,
1787164444.744316,103.000094,1,32403.0,389186.0,190.0,0.0,1751.0,0.0,
1787164445.744310,104.000088,1,32783.0,393173.0,189.0,0.0,1774.0,0.0,
1787164446.744276,105.000055,1,33151.0,397353.0,190.0,0.0,1795.0,0.0,
1787164447.744314,106.000093,1,33466.0,401543.0,190.0,0.0,1812.0,0.0,
1787164448.744269,107.000048,1,33709.0,405738.0,192.0,0.0,1825.0,0.0,
1787164449.744270,108.000049,1,33937.0,410128.0,191.0,0.0,1839.0,0.0,
1787164450.744271,109.000050,1,34322.0,414309.0,191.0,0.0,1860.0,0.0,
1787164451.744276,110.000055,1,34637.0,418500.0,190.0,0.0,1878.0,0.0,
1787164452.744272,111.000050,1,35007.0,422681.0,191.0,0.0,1898.0,0.0,
1787164453.744282,112.000061,1,35323.0,426867.0,190.0,0.0,1918.0,0.0,
1787164454.744321,113.000099,1,35568.0,431064.0,191.0,0.0,1931.0,0.0,
1787164455.744285,114.000064,1,35899.0,435438.0,190.0,0.0,1952.0,0.0,
1787164456.744303,115.000081,1,36242.0,439626.0,190.0,0.0,1970.0,0.0,
1787164457.744297,116.000075,1,36658.0,443610.0,192.0,0.0,1993.0,0.0,
1787164458.744406,117.000185,1,36897.0,447804.0,189.0,0.0,2010.0,0.0,
1787164459.744293,118.000072,1,37314.0,451981.0,189.0,0.0,2034.0,0.0,
1787164460.744271,119.000050,1,37607.0,456147.0,190.0,0.0,2050.0,0.0,
1787164461.744308,120.000087,1,38002.0,460153.0,189.0,0.0,2076.0,0.0,
1787164462.744286,121.000065,1,38626.0,464305.0,188.0,0.0,2112.0,0.0,
1787164463.744271,122.000049,1,39064.0,468482.0,191.0,0.0,2134.0,0.0,
1787164464.744292,123.000070,1,39414.0,472670.0,191.0,0.0,2152.0,0.0,
1787164465.744309,124.000087,1,39483.0,474006.0,192.0,0.0,2203.0,48.0,
1787164466.744333,125.000112,1,39483.0,474006.0,192.0,0.0,2203.0,48.0,
1787164467.744272,126.000051,1,39483.0,474006.0,192.0,0.0,2203.0,48.0,
1787164468.744295,127.000073,1,39483.0,474006.0,192.0,0.0,2203.0,48.0,
1787164469.744301,128.000080,1,39483.0,474006.0,192.0,0.0,2203.0,48.0,
1787164470.744288,129.000067,1,39483.0,474006.0,192.0,0.0,2203.0,48.0,
1787164471.744288,130.000067,1,39483.0,474006.0,192.0,0.0,2203.0,48.0,
1787164472.744287,131.000066,1,39483.0,474006.0,192.0,0.0,2203.0,48.0,
1787164473.744334,132.000113,1,39483.0,474006.0,192.0,0.0,2203.0,48.0,
1787164474.744320,133.000098,1,39483.0,474006.0,192.0,0.0,2203.0,48.0,
1787164475.744305,134.000083,1,39483.0,474006.0,192.0,0.0,2203.0,48.0,
1787164476.744301,135.000079,1,39483.0,474006.0,192.0,0.0,2203.0,48.0,
1787164477.744326,136.000104,1,39483.0,474006.0,192.0,0.0,2203.0,48.0,
1787164478.744308,137.000086,1,39483.0,474006.0,192.0,0.0,2203.0,48.0,
1787164479.744276,138.000055,1,39483.0,474006.0,192.0,0.0,2203.0,48.0,
1787164480.744488,139.000267,1,39483.0,474006.0,192.0,0.0,2203.0,48.0,
1787164481.744306,140.000084,1,39483.0,474006.0,192.0,0.0,2203.0,48.0,
1787164482.744290,141.000069,1,39483.0,474006.0,192.0,0.0,2203.0,48.0,
1787164483.744302,142.000080,1,39483.0,474006.0,192.0,0.0,2203.0,48.0,
