timestamp_unix,elapsed_s,scrape_ok,prompt_tokens_total,generation_tokens_total,requests_running,requests_waiting,requests_finished_total,requests_error_total,error
1787152362.257509,0.000054,1,0.0,0.0,0.0,0.0,0.0,0.0,
1787152363.257529,1.000074,1,0.0,0.0,0.0,0.0,0.0,0.0,
1787152364.257519,2.000064,1,251.0,579.0,19.0,0.0,0.0,0.0,
1787152365.257519,3.000064,1,401.0,3659.0,28.0,0.0,0.0,0.0,
1787152366.257515,4.000060,1,691.0,6479.0,33.0,0.0,16.0,0.0,
1787152367.257511,5.000056,1,976.0,9019.0,47.0,0.0,20.0,0.0,
1787152368.257515,6.000059,1,1186.0,12676.0,57.0,0.0,25.0,0.0,
1787152369.257522,7.000067,1,1381.0,15591.0,66.0,0.0,29.0,0.0,
1787152370.257516,8.000061,1,1600.0,19533.0,76.0,0.0,33.0,0.0,
1787152371.257520,9.000065,1,2134.0,22336.0,85.0,0.0,58.0,0.0,
1787152372.257515,10.000060,1,2406.0,25710.0,94.0,0.0,66.0,0.0,
1787152373.257525,11.000070,1,2698.0,29967.0,103.0,0.0,75.0,0.0,
1787152374.257524,12.000068,1,2995.0,34629.0,113.0,0.0,84.0,0.0,
1787152375.257521,13.000066,1,3325.0,38746.0,123.0,0.0,93.0,0.0,
1787152376.257517,14.000062,1,3638.0,43317.0,133.0,0.0,102.0,0.0,
1787152377.257515,15.000060,1,3920.0,47697.0,141.0,0.0,111.0,0.0,
1787152378.257527,16.000071,1,4559.0,51292.0,151.0,0.0,141.0,0.0,
1787152379.257524,17.000069,1,4921.0,55651.0,160.0,0.0,154.0,0.0,
1787152380.257522,18.000066,1,5283.0,59952.0,171.0,0.0,164.0,0.0,
1787152381.257524,19.000069,1,5631.0,64827.0,180.0,0.0,177.0,0.0,
1787152382.257521,20.000066,1,5999.0,70734.0,189.0,0.0,190.0,0.0,
1787152383.257517,21.000062,1,6331.0,76837.0,191.0,0.0,207.0,0.0,
1787152384.257521,22.000065,1,6611.0,82945.0,192.0,0.0,224.0,0.0,
1787152385.257519,23.000064,1,6891.0,89245.0,192.0,0.0,242.0,0.0,
1787152386.257517,24.000062,1,7172.0,94973.0,192.0,0.0,258.0,0.0,
1787152387.257524,25.000068,1,7796.0,99309.0,191.0,0.0,299.0,0.0,
1787152388.257523,26.000068,1,8156.0,104258.0,191.0,0.0,320.0,0.0,
1787152389.257528,27.000072,1,8501.0,109591.0,191.0,0.0,342.0,0.0,
1787152390.257518,28.000063,1,8867.0,114732.0,189.0,0.0,365.0,0.0,
1787152391.257521,29.000065,1,9267.0,120829.0,190.0,0.0,388.0,0.0,
1787152392.257515,30.000060,1,9565.0,127128.0,191.0,0.0,405.0,0.0,
1787152393.257515,31.000060,1,9863.0,133238.0,191.0,0.0,422.0,0.0,
1787152394.257514,32.000058,1,10143.0,139157.0,191.0,0.0,439.0,0.0,
1787152395.257518,33.000062,1,10408.0,144690.0,190.0,0.0,457.0,0.0,
1787152396.257522,34.000067,1,11017.0,148839.0,192.0,0.0,493.0,0.0,
1787152397.257518,35.000063,1,11343.0,153980.0,191.0,0.0,515.0,0.0,
1787152398.257517,36.000062,1,11720.0,159503.0,191.0,0.0,538.0,0.0,
1787152399.257522,37.000067,1,12069.0,164261.0,189.0,0.0,561.0,0.0,
1787152400.257516,38.000061,1,12471.0,170357.0,192.0,0.0,582.0,0.0,
1787152401.257519,39.000064,1,12785.0,176847.0,189.0,0.0,603.0,0.0,
1787152402.257527,40.000071,1,13115.0,183531.0,192.0,0.0,619.0,0.0,
1787152403.257527,41.000072,1,13394.0,189063.0,191.0,0.0,638.0,0.0,
1787152404.257529,42.000073,1,13693.0,194778.0,180.0,0.0,669.0,0.0,
1787152405.257520,43.000064,1,14285.0,199513.0,191.0,0.0,692.0,0.0,
1787152406.257528,44.000072,1,14662.0,204649.0,189.0,0.0,718.0,0.0,
1787152407.257526,45.000070,1,15040.0,210442.0,190.0,0.0,739.0,0.0,
1787152408.257528,46.000072,1,15375.0,215694.0,190.0,0.0,762.0,0.0,
1787152409.257527,47.000072,1,15758.0,221990.0,192.0,0.0,781.0,0.0,
1787152410.257523,48.000068,1,16072.0,227904.0,191.0,0.0,801.0,0.0,
1787152411.257526,49.000071,1,16395.0,234585.0,191.0,0.0,820.0,0.0,
1787152412.257529,50.000074,1,16728.0,239539.0,190.0,0.0,840.0,0.0,
1787152413.257521,51.000066,1,17272.0,244847.0,189.0,0.0,875.0,0.0,
1787152414.257514,52.000058,1,17653.0,249992.0,190.0,0.0,893.0,0.0,
1787152415.257523,53.000067,1,18053.0,255130.0,190.0,0.0,916.0,0.0,
