timestamp_unix,elapsed_s,scrape_ok,prompt_tokens_total,generation_tokens_total,requests_running,requests_waiting,requests_finished_total,requests_error_total,error
1787153767.554109,0.000054,1,0.0,0.0,0.0,0.0,0.0,0.0,
1787153768.554136,1.000081,1,146.0,408.0,12.0,0.0,0.0,0.0,
1787153769.554131,2.000076,1,341.0,2272.0,25.0,0.0,0.0,0.0,
1787153770.554120,3.000065,1,521.0,4707.0,37.0,0.0,0.0,0.0,
1787153771.554127,4.000072,1,828.0,6426.0,50.0,0.0,8.0,0.0,
1787153772.554127,5.000072,1,1081.0,8756.0,62.0,0.0,13.0,0.0,
1787153773.554129,6.000074,1,1351.0,11499.0,75.0,0.0,18.0,0.0,
1787153774.554078,7.000023,1,1616.0,14094.0,88.0,0.0,22.0,0.0,
1787153775.554083,8.000028,1,1888.0,17379.0,100.0,0.0,27.0,0.0,
1787153776.554131,9.000077,1,2189.0,20985.0,113.0,0.0,32.0,0.0,
1787153777.554129,10.000074,1,2490.0,24942.0,126.0,0.0,37.0,0.0,
1787153778.554133,11.000078,1,2774.0,28357.0,134.0,0.0,46.0,0.0,
1787153779.554137,12.000082,1,3259.0,31461.0,150.0,0.0,60.0,0.0,
1787153780.554128,13.000073,1,3654.0,34955.0,164.0,0.0,71.0,0.0,
1787153781.554129,14.000074,1,4083.0,39850.0,176.0,0.0,84.0,0.0,
1787153782.554130,15.000075,1,4480.0,44770.0,189.0,0.0,96.0,0.0,
1787153783.554130,16.000076,1,4942.0,49827.0,201.0,0.0,111.0,0.0,
1787153784.554133,17.000078,1,5322.0,54594.0,214.0,0.0,122.0,0.0,
1787153785.554131,18.000076,1,5738.0,59868.0,227.0,0.0,134.0,0.0,
1787153786.554131,19.000076,1,6159.0,65210.0,239.0,0.0,146.0,0.0,
1787153787.554128,20.000073,1,6614.0,71101.0,252.0,0.0,160.0,0.0,
1787153788.554126,21.000072,1,6916.0,77720.0,255.0,0.0,175.0,0.0,
1787153789.554126,22.000071,1,7320.0,83299.0,253.0,0.0,203.0,0.0,
1787153790.554125,23.000070,1,7698.0,88632.0,254.0,0.0,224.0,0.0,
1787153791.554125,24.000070,1,8111.0,95494.0,254.0,0.0,249.0,0.0,
1787153792.554127,25.000072,1,8491.0,101335.0,253.0,0.0,272.0,0.0,
1787153793.554127,26.000072,1,8870.0,107944.0,254.0,0.0,296.0,0.0,
1787153794.554128,27.000073,1,9283.0,113818.0,254.0,0.0,321.0,0.0,
1787153795.554126,28.000072,1,9679.0,119623.0,254.0,0.0,344.0,0.0,
1787153796.554128,29.000073,1,10080.0,125718.0,254.0,0.0,369.0,0.0,
1787153797.554126,30.000072,1,10469.0,131303.0,254.0,0.0,392.0,0.0,
1787153798.554125,31.000070,1,10907.0,137140.0,253.0,0.0,419.0,0.0,
1787153799.554129,32.000074,1,11209.0,144018.0,255.0,0.0,434.0,0.0,
1787153800.554130,33.000075,1,11643.0,149593.0,253.0,0.0,463.0,0.0,
1787153801.554130,34.000075,1,12055.0,155689.0,254.0,0.0,487.0,0.0,
1787153802.554128,35.000073,1,12435.0,162299.0,254.0,0.0,510.0,0.0,
1787153803.554129,36.000074,1,12815.0,168654.0,254.0,0.0,533.0,0.0,
1787153804.554128,37.000073,1,13244.0,175513.0,254.0,0.0,559.0,0.0,
1787153805.554127,38.000072,1,13640.0,181096.0,254.0,0.0,583.0,0.0,
1787153806.554122,39.000067,1,14070.0,187190.0,254.0,0.0,608.0,0.0,
1787153807.554126,40.000071,1,14457.0,193287.0,254.0,0.0,632.0,0.0,
1787153808.554129,41.000075,1,14880.0,198869.0,254.0,0.0,657.0,0.0,
1787153809.554128,42.000073,1,15267.0,205224.0,255.0,0.0,679.0,0.0,
1787153810.554129,43.000074,1,15551.0,211774.0,251.0,0.0,700.0,0.0,
1787153811.554129,44.000075,1,16002.0,217165.0,254.0,0.0,725.0,0.0,
1787153812.554128,45.000073,1,16382.0,222494.0,254.0,0.0,749.0,0.0,
1787153813.554128,46.000074,1,16802.0,229358.0,255.0,0.0,772.0,0.0,
1787153814.554127,47.000072,1,17205.0,235969.0,254.0,0.0,795.0,0.0,
1787153815.554130,48.000075,1,17625.0,242063.0,254.0,0.0,820.0,0.0,
1787153816.554129,49.000074,1,18081.0,248157.0,254.0,0.0,845.0,0.0,
1787153817.554093,50.000038,1,18501.0,253997.0,253.0,0.0,870.0,0.0,
1787153818.554121,51.000067,1,18913.0,259838.0,254.0,0.0,892.0,0.0,
1787153819.554125,52.000070,1,19378.0,265418.0,256.0,0.0,920.0,0.0,
1787153820.554129,53.000074,1,19770.0,272031.0,255.0,0.0,939.0,0.0,
1787153821.554129,54.000074,1,20117.0,278132.0,253.0,0.0,962.0,0.0,
1787153822.554128,55.000073,1,20530.0,283461.0,253.0,0.0,986.0,0.0,
1787153823.554124,56.000069,1,20950.0,289048.0,253.0,0.0,1009.0,0.0,
1787153824.554132,57.000077,1,21370.0,295655.0,254.0,0.0,1032.0,0.0,
1787153825.554128,58.000074,1,21738.0,302012.0,254.0,0.0,1053.0,0.0,
1787153826.554129,59.000075,1,22193.0,308360.0,253.0,0.0,1081.0,0.0,
1787153827.554128,60.000074,1,22631.0,314454.0,254.0,0.0,1104.0,0.0,
1787153828.554125,61.000070,1,23071.0,320294.0,254.0,0.0,1128.0,0.0,
1787153829.554098,62.000044,1,23465.0,326135.0,254.0,0.0,1152.0,0.0,
1787153830.554123,63.000069,1,23982.0,331713.0,254.0,0.0,1179.0,0.0,
1787153831.554127,64.000072,1,24320.0,338330.0,255.0,0.0,1198.0,0.0,
1787153832.554125,65.000070,1,24698.0,344173.0,254.0,0.0,1221.0,0.0,
1787153833.554106,66.000051,1,25081.0,349504.0,255.0,0.0,1243.0,0.0,
1787153834.554117,67.000063,1,25518.0,355600.0,256.0,0.0,1266.0,0.0,
1787153835.554114,68.000059,1,25902.0,361443.0,254.0,0.0,1290.0,0.0,
1787153836.554117,69.000062,1,26271.0,367800.0,254.0,0.0,1312.0,0.0,
1787153837.554127,70.000072,1,26726.0,374402.0,255.0,0.0,1338.0,0.0,
1787153838.554122,71.000067,1,27147.0,380244.0,254.0,0.0,1362.0,0.0,
1787153839.554122,72.000068,1,27605.0,386592.0,253.0,0.0,1388.0,0.0,
1787153840.554130,73.000075,1,28034.0,392433.0,251.0,0.0,1414.0,0.0,
