timestamp_unix,elapsed_s,scrape_ok,prompt_tokens_total,generation_tokens_total,requests_running,requests_waiting,requests_finished_total,requests_error_total,error
1787617786.279988,0.000047,1,0.0,0.0,0.0,0.0,0.0,0.0,
1787617787.280010,1.000069,1,78.0,49.0,6.0,0.0,0.0,0.0,
1787617788.280008,2.000066,1,161.0,254.0,12.0,0.0,0.0,0.0,
1787617789.280004,3.000062,1,251.0,620.0,19.0,0.0,0.0,0.0,
1787617790.280005,4.000064,1,356.0,1117.0,25.0,0.0,0.0,0.0,
1787617791.280012,5.000070,1,460.0,1752.0,30.0,0.0,2.0,0.0,
1787617792.280008,6.000066,1,634.0,2520.0,37.0,0.0,8.0,0.0,
1787617793.280007,7.000065,1,797.0,3445.0,43.0,0.0,12.0,0.0,
1787617794.280001,8.000059,1,1006.0,4504.0,50.0,0.0,20.0,0.0,
1787617795.280003,9.000062,1,1171.0,5719.0,56.0,0.0,25.0,0.0,
1787617796.280005,10.000063,1,1395.0,7009.0,61.0,0.0,34.0,0.0,
1787617797.280004,11.000062,1,1643.0,8431.0,68.0,0.0,44.0,0.0,
1787617798.280003,12.000061,1,1927.0,9991.0,73.0,0.0,57.0,0.0,
1787617799.280004,13.000062,1,2230.0,11773.0,81.0,0.0,68.0,0.0,
1787617800.280002,14.000061,1,2598.0,13604.0,88.0,0.0,83.0,0.0,
1787617801.280002,15.000060,1,2854.0,15594.0,94.0,0.0,94.0,0.0,
1787617802.279999,16.000058,1,3218.0,17695.0,99.0,0.0,113.0,0.0,
1787617803.280000,17.000058,1,3636.0,19938.0,105.0,0.0,133.0,0.0,
1787617804.280003,18.000061,1,3993.0,22216.0,112.0,0.0,147.0,0.0,
1787617805.280000,19.000058,1,4432.0,24729.0,120.0,0.0,166.0,0.0,
1787617806.280004,20.000062,1,4822.0,27382.0,124.0,0.0,187.0,0.0,
1787617807.279972,21.000030,1,5126.0,30146.0,123.0,0.0,205.0,0.0,
1787617808.280008,22.000067,1,5572.0,32879.0,125.0,0.0,232.0,0.0,
1787617809.280005,23.000063,1,5914.0,35638.0,127.0,0.0,251.0,0.0,
1787617810.280005,24.000063,1,6354.0,38379.0,127.0,0.0,279.0,0.0,
1787617811.280001,25.000059,1,6710.0,41125.0,124.0,0.0,306.0,0.0,
1787617812.280003,26.000061,1,7146.0,43878.0,124.0,0.0,329.0,0.0,
1787617813.280005,27.000063,1,7560.0,46621.0,125.0,0.0,355.0,0.0,
1787617814.280006,28.000065,1,7898.0,49387.0,126.0,0.0,374.0,0.0,
1787617815.280005,29.000063,1,8305.0,52132.0,126.0,0.0,401.0,0.0,
1787617816.280007,30.000065,1,8711.0,54882.0,125.0,0.0,427.0,0.0,
1787617817.280008,31.000067,1,9164.0,57626.0,125.0,0.0,455.0,0.0,
1787617818.280006,32.000065,1,9558.0,60381.0,126.0,0.0,477.0,0.0,
1787617819.280011,33.000069,1,9850.0,63143.0,124.0,0.0,497.0,0.0,
1787617820.280036,34.000094,1,10275.0,65887.0,125.0,0.0,523.0,0.0,
1787617821.280007,35.000066,1,10745.0,68619.0,126.0,0.0,550.0,0.0,
1787617822.280010,36.000068,1,11167.0,71362.0,124.0,0.0,578.0,0.0,
1787617823.280008,37.000066,1,11531.0,74107.0,128.0,0.0,600.0,0.0,
1787617824.280009,38.000067,1,11836.0,76864.0,122.0,0.0,622.0,0.0,
1787617825.280008,39.000067,1,12226.0,79741.0,123.0,0.0,646.0,0.0,
1787617826.280006,40.000064,1,12665.0,82478.0,123.0,0.0,673.0,0.0,
1787617827.280007,41.000065,1,13215.0,85196.0,124.0,0.0,708.0,0.0,
1787617828.280006,42.000064,1,13568.0,87957.0,127.0,0.0,725.0,0.0,
1787617829.280008,43.000066,1,13838.0,90849.0,127.0,0.0,743.0,0.0,
1787617830.280005,44.000063,1,14194.0,93613.0,124.0,0.0,767.0,0.0,
1787617831.280006,45.000064,1,14730.0,96337.0,125.0,0.0,799.0,0.0,
1787617832.280004,46.000063,1,15200.0,98948.0,124.0,0.0,830.0,0.0,
1787617833.280005,47.000064,1,15587.0,101690.0,123.0,0.0,854.0,0.0,
1787617834.280004,48.000062,1,15793.0,104604.0,124.0,0.0,865.0,0.0,
1787617835.280006,49.000065,1,16278.0,107347.0,128.0,0.0,890.0,0.0,
1787617836.280010,50.000068,1,16744.0,110080.0,125.0,0.0,921.0,0.0,
1787617837.280010,51.000069,1,17210.0,112825.0,122.0,0.0,951.0,0.0,
1787617838.280007,52.000065,1,17723.0,115559.0,124.0,0.0,978.0,0.0,
1787617839.280006,53.000064,1,18012.0,118327.0,128.0,0.0,993.0,0.0,
1787617840.280004,54.000062,1,18350.0,121210.0,125.0,0.0,1017.0,0.0,
1787617841.280006,55.000064,1,18817.0,123828.0,124.0,0.0,1045.0,0.0,
1787617842.280008,56.000066,1,19386.0,126552.0,125.0,0.0,1075.0,0.0,
1787617843.280009,57.000067,1,19865.0,129293.0,124.0,0.0,1104.0,0.0,
1787617844.280005,58.000063,1,20136.0,132199.0,127.0,0.0,1116.0,0.0,
1787617845.280007,59.000065,1,20528.0,134946.0,127.0,0.0,1140.0,0.0,
1787617846.280004,60.000063,1,20888.0,137689.0,124.0,0.0,1169.0,0.0,
1787617847.280007,61.000065,1,21510.0,140408.0,125.0,0.0,1201.0,0.0,
1787617848.280003,62.000061,1,21974.0,143161.0,127.0,0.0,1224.0,0.0,
1787617849.280004,63.000062,1,22313.0,146057.0,126.0,0.0,1244.0,0.0,
1787617850.280004,64.000062,1,22637.0,148822.0,124.0,0.0,1265.0,0.0,
1787617851.280002,65.000061,1,23098.0,151558.0,125.0,0.0,1292.0,0.0,
1787617852.280002,66.000061,1,23600.0,154291.0,123.0,0.0,1324.0,0.0,
1787617853.280002,67.000060,1,24066.0,157036.0,125.0,0.0,1348.0,0.0,
1787617854.280005,68.000063,1,24454.0,159790.0,126.0,0.0,1369.0,0.0,
1787617855.280004,69.000063,1,24745.0,162687.0,125.0,0.0,1387.0,0.0,
1787617856.280005,70.000063,1,25155.0,165422.0,121.0,0.0,1416.0,0.0,
1787617857.280005,71.000063,1,25723.0,168157.0,126.0,0.0,1444.0,0.0,
1787617858.280006,72.000064,1,26189.0,170906.0,122.0,0.0,1474.0,0.0,
1787617859.280007,73.000065,1,26596.0,173652.0,127.0,0.0,1495.0,0.0,
1787617860.280002,74.000060,1,26886.0,176554.0,125.0,0.0,1512.0,0.0,
1787617861.280002,75.000061,1,27247.0,179311.0,123.0,0.0,1536.0,0.0,
1787617862.280002,76.000061,1,27798.0,182037.0,121.0,0.0,1570.0,0.0,
1787617863.280003,77.000061,1,28193.0,184669.0,125.0,0.0,1588.0,0.0,
1787617864.280005,78.000063,1,28669.0,187399.0,125.0,0.0,1618.0,0.0,
1787617865.280007,79.000066,1,29063.0,190161.0,128.0,0.0,1637.0,0.0,
1787617866.280010,80.000068,1,29354.0,192926.0,124.0,0.0,1658.0,0.0,
1787617867.280009,81.000068,1,29890.0,195659.0,124.0,0.0,1689.0,0.0,
1787617868.280008,82.000067,1,30285.0,198541.0,128.0,0.0,1709.0,0.0,
1787617869.280012,83.000071,1,30865.0,201265.0,128.0,0.0,1742.0,0.0,
1787617870.280007,84.000065,1,31190.0,204028.0,126.0,0.0,1763.0,0.0,
1787617871.280007,85.000065,1,31463.0,206919.0,122.0,0.0,1784.0,0.0,
1787617872.280007,86.000066,1,32049.0,209516.0,124.0,0.0,1816.0,0.0,
1787617873.280007,87.000066,1,32445.0,212395.0,125.0,0.0,1838.0,0.0,
1787617874.280007,88.000065,1,32938.0,215136.0,124.0,0.0,1866.0,0.0,
1787617875.280009,89.000067,1,33300.0,217897.0,126.0,0.0,1886.0,0.0,
1787617876.280014,90.000072,1,33603.0,220650.0,123.0,0.0,1910.0,0.0,
1787617877.280007,91.000065,1,34155.0,223388.0,125.0,0.0,1936.0,0.0,
1787617878.280009,92.000067,1,34555.0,226141.0,123.0,0.0,1961.0,0.0,
1787617879.280007,93.000066,1,35081.0,228879.0,127.0,0.0,1988.0,0.0,
1787617880.280010,94.000068,1,35426.0,231622.0,124.0,0.0,2013.0,0.0,
1787617881.280009,95.000067,1,35814.0,234378.0,125.0,0.0,2034.0,0.0,
1787617882.280009,96.000067,1,36298.0,237115.0,125.0,0.0,2064.0,0.0,
1787617883.280007,97.000066,1,36678.0,239873.0,127.0,0.0,2084.0,0.0,
1787617884.280008,98.000066,1,37138.0,242620.0,123.0,0.0,2114.0,0.0,
1787617885.280007,99.000065,1,37533.0,245384.0,126.0,0.0,2132.0,0.0,
1787617886.280012,100.000071,1,37925.0,248129.0,127.0,0.0,2155.0,0.0,
1787617887.280006,101.000065,1,38386.0,250871.0,127.0,0.0,2183.0,0.0,
1787617888.280005,102.000064,1,38841.0,253617.0,123.0,0.0,2211.0,0.0,
1787617889.280007,103.000065,1,39197.0,256250.0,124.0,0.0,2231.0,0.0,
1787617890.280006,104.000065,1,39639.0,258995.0,126.0,0.0,2256.0,0.0,
1787617891.280005,105.000063,1,39980.0,261765.0,127.0,0.0,2274.0,0.0,
1787617892.280007,106.000065,1,40412.0,264512.0,124.0,0.0,2302.0,0.0,
1787617893.280014,107.000072,1,40945.0,267115.0,126.0,0.0,2333.0,0.0,
1787617894.280008,108.000066,1,41358.0,269859.0,126.0,0.0,2358.0,0.0,
1787617895.280004,109.000062,1,41716.0,272747.0,127.0,0.0,2377.0,0.0,
1787617896.280010,110.000068,1,42107.0,275497.0,125.0,0.0,2402.0,0.0,
1787617897.280012,111.000070,1,42570.0,278116.0,126.0,0.0,2427.0,0.0,
1787617898.280010,112.000069,1,42898.0,280754.0,128.0,0.0,2445.0,0.0,
1787617899.280010,113.000069,1,43520.0,283478.0,126.0,0.0,2482.0,0.0,
1787617900.280007,114.000065,1,43875.0,286361.0,126.0,0.0,2504.0,0.0,
1787617901.280011,115.000070,1,44200.0,288996.0,126.0,0.0,2523.0,0.0,
1787617902.280013,116.000071,1,44610.0,291875.0,126.0,0.0,2546.0,0.0,
1787617903.280012,117.000070,1,44990.0,294630.0,125.0,0.0,2570.0,0.0,
1787617904.280009,118.000067,1,45507.0,297364.0,120.0,0.0,2603.0,0.0,
1787617905.280005,119.000064,1,45985.0,300101.0,124.0,0.0,2628.0,0.0,
1787617906.280011,120.000069,1,46221.0,303016.0,123.0,0.0,2643.0,0.0,
1787617907.280008,121.000066,1,46790.0,305618.0,125.0,0.0,2673.0,0.0,
1787617908.280014,122.000073,1,47168.0,308372.0,128.0,0.0,2694.0,0.0,
1787617909.280047,123.000105,1,47631.0,311249.0,126.0,0.0,2722.0,0.0,
1787617910.280010,124.000068,1,48094.0,313990.0,125.0,0.0,2750.0,0.0,
1787617911.280008,125.000066,1,48432.0,316869.0,125.0,0.0,2771.0,0.0,
1787617912.280008,126.000066,1,48846.0,319621.0,122.0,0.0,2798.0,0.0,
1787617913.280006,127.000064,1,49293.0,322372.0,125.0,0.0,2819.0,0.0,
1787617914.280006,128.000064,1,49687.0,325124.0,123.0,0.0,2844.0,0.0,
1787617915.280002,129.000061,1,50235.0,327853.0,126.0,0.0,2876.0,0.0,
1787617916.280002,130.000060,1,50577.0,330614.0,123.0,0.0,2897.0,0.0,
1787617917.280002,131.000060,1,50953.0,333489.0,125.0,0.0,2919.0,0.0,
1787617918.280001,132.000060,1,51419.0,336231.0,124.0,0.0,2945.0,0.0,
1787617919.280000,133.000059,1,51933.0,338979.0,128.0,0.0,2970.0,0.0,
1787617920.280003,134.000062,1,52374.0,341719.0,127.0,0.0,2998.0,0.0,
1787617921.280008,135.000067,1,52739.0,344604.0,126.0,0.0,3020.0,0.0,
1787617922.280009,136.000067,1,53096.0,347370.0,125.0,0.0,3041.0,0.0,
1787617923.280007,137.000066,1,53578.0,350105.0,125.0,0.0,3070.0,0.0,
1787617924.280008,138.000066,1,53989.0,352850.0,128.0,0.0,3093.0,0.0,
1787617925.280012,139.000071,1,54417.0,355603.0,122.0,0.0,3121.0,0.0,
1787617926.280009,140.000067,1,54897.0,358345.0,126.0,0.0,3145.0,0.0,
1787617927.280005,141.000064,1,55205.0,361106.0,125.0,0.0,3166.0,0.0,
1787617928.280005,142.000063,1,55602.0,363861.0,127.0,0.0,3186.0,0.0,
1787617929.280026,143.000085,1,56064.0,366481.0,125.0,0.0,3214.0,0.0,
1787617930.280009,144.000067,1,56578.0,369212.0,126.0,0.0,3244.0,0.0,
1787617931.280009,145.000067,1,56956.0,371967.0,126.0,0.0,3266.0,0.0,
1787617932.280010,146.000068,1,57264.0,374735.0,124.0,0.0,3285.0,0.0,
1787617933.280007,147.000065,1,57607.0,377493.0,123.0,0.0,3308.0,0.0,
1787617934.280009,148.000067,1,58104.0,380232.0,122.0,0.0,3336.0,0.0,
1787617935.280009,149.000067,1,58584.0,382973.0,126.0,0.0,3360.0,0.0,
1787617936.280006,150.000064,1,59080.0,385710.0,127.0,0.0,3389.0,0.0,
1787617937.280005,151.000063,1,59355.0,388488.0,126.0,0.0,3405.0,0.0,
1787617938.280008,152.000066,1,59730.0,391236.0,126.0,0.0,3428.0,0.0,
1787617939.280004,153.000062,1,60144.0,393983.0,123.0,0.0,3455.0,0.0,
1787617940.280010,154.000068,1,60573.0,396604.0,118.0,0.0,3484.0,0.0,
1787617941.280009,155.000067,1,61154.0,399326.0,125.0,0.0,3512.0,0.0,
1787617942.280008,156.000067,1,61463.0,402088.0,126.0,0.0,3529.0,0.0,
1787617943.280003,157.000061,1,61787.0,404858.0,125.0,0.0,3549.0,0.0,
1787617944.280010,158.000068,1,62286.0,407595.0,125.0,0.0,3577.0,0.0,
1787617945.280054,159.000113,1,62659.0,410218.0,122.0,0.0,3602.0,0.0,
1787617946.280011,160.000069,1,63280.0,412935.0,125.0,0.0,3636.0,0.0,
1787617947.280013,161.000071,1,63571.0,415715.0,126.0,0.0,3651.0,0.0,
1787617948.280013,162.000072,1,63896.0,418476.0,126.0,0.0,3673.0,0.0,
1787617949.280012,163.000070,1,64359.0,421221.0,127.0,0.0,3697.0,0.0,
1787617950.280010,164.000069,1,64890.0,423832.0,125.0,0.0,3730.0,0.0,
1787617951.280014,165.000072,1,65302.0,426583.0,120.0,0.0,3758.0,0.0,
1787617952.280006,166.000065,1,65661.0,429343.0,126.0,0.0,3775.0,0.0,
1787617953.280009,167.000068,1,65971.0,432102.0,125.0,0.0,3796.0,0.0,
1787617954.280012,168.000071,1,66466.0,434859.0,126.0,0.0,3820.0,0.0,
1787617955.280009,169.000067,1,66948.0,437589.0,123.0,0.0,3852.0,0.0,
1787617956.280013,170.000072,1,67392.0,440333.0,124.0,0.0,3877.0,0.0,
1787617957.280010,171.000068,1,67821.0,442959.0,126.0,0.0,3901.0,0.0,
1787617958.280009,172.000067,1,68132.0,445860.0,125.0,0.0,3918.0,0.0,
1787617959.280002,173.000061,1,68574.0,448593.0,124.0,0.0,3946.0,0.0,
1787617960.280002,174.000061,1,68988.0,451337.0,122.0,0.0,3971.0,0.0,
1787617961.280004,175.000062,1,69432.0,454083.0,121.0,0.0,4001.0,0.0,
1787617962.280003,176.000062,1,69980.0,456946.0,127.0,0.0,4025.0,0.0,
1787617963.280002,177.000061,1,70276.0,459716.0,123.0,0.0,4045.0,0.0,
1787617964.280002,178.000060,1,70704.0,462463.0,125.0,0.0,4070.0,0.0,
1787617965.280004,179.000062,1,71026.0,465226.0,125.0,0.0,4089.0,0.0,
1787617966.280000,180.000059,1,71609.0,467957.0,122.0,0.0,4126.0,0.0,
1787617967.280009,181.000068,1,71813.0,468824.0,124.0,0.0,4135.0,0.0,
1787617968.280004,182.000062,1,71813.0,468824.0,124.0,0.0,4135.0,0.0,
1787617969.280005,183.000064,1,71813.0,468824.0,124.0,0.0,4135.0,0.0,
1787617970.280004,184.000063,1,71813.0,468824.0,124.0,0.0,4135.0,0.0,
1787617971.280004,185.000062,1,71813.0,468824.0,124.0,0.0,4135.0,0.0,
1787617972.280004,186.000062,1,71813.0,468824.0,124.0,0.0,4135.0,0.0,
1787617973.280004,187.000062,1,71813.0,468824.0,124.0,0.0,4135.0,0.0,
1787617974.280004,188.000062,1,71813.0,468824.0,124.0,0.0,4135.0,0.0,
1787617975.280004,189.000062,1,71813.0,468824.0,124.0,0.0,4135.0,0.0,
1787617976.280004,190.000062,1,71813.0,468824.0,124.0,0.0,4135.0,0.0,
1787617977.280004,191.000062,1,71813.0,468824.0,124.0,0.0,4135.0,0.0,
1787617978.280004,192.000062,1,71813.0,468824.0,124.0,0.0,4135.0,0.0,
1787617979.280003,193.000061,1,71813.0,468824.0,124.0,0.0,4135.0,0.0,
1787617980.280004,194.000062,1,71813.0,468824.0,124.0,0.0,4135.0,0.0,
1787617981.280005,195.000063,1,71813.0,468824.0,124.0,0.0,4135.0,0.0,
1787617982.280132,196.000190,1,71813.0,468824.0,124.0,0.0,4135.0,0.0,
1787617983.280004,197.000063,1,71813.0,468824.0,124.0,0.0,4135.0,0.0,
1787617984.280004,198.000063,1,71813.0,468824.0,124.0,0.0,4135.0,0.0,
1787617985.280004,199.000062,1,71813.0,468824.0,124.0,0.0,4135.0,0.0,
1787617986.280004,200.000062,1,71813.0,468824.0,124.0,0.0,4135.0,0.0,
1787617987.280025,201.000084,1,71813.0,468920.0,123.0,0.0,4137.0,0.0,
1787617988.280004,202.000063,1,71813.0,468920.0,123.0,0.0,4137.0,0.0,
