timestamp_unix,elapsed_s,scrape_ok,prompt_tokens_total,generation_tokens_total,requests_running,requests_waiting,requests_finished_total,requests_error_total,error
1787672893.231387,0.000048,1,0.0,0.0,0.0,0.0,0.0,0.0,
1787672894.231451,1.000112,1,91.0,51.0,8.0,0.0,0.0,0.0,
1787672895.231409,2.000070,1,221.0,332.0,16.0,0.0,0.0,0.0,
1787672896.231407,3.000068,1,341.0,796.0,25.0,0.0,0.0,0.0,
1787672897.231401,4.000061,1,476.0,1484.0,33.0,0.0,0.0,0.0,
1787672898.231403,5.000063,1,596.0,2379.0,42.0,0.0,0.0,0.0,
1787672899.231397,6.000057,1,731.0,3433.0,50.0,0.0,0.0,0.0,
1787672900.231398,7.000058,1,851.0,4679.0,59.0,0.0,0.0,0.0,
1787672901.231400,8.000060,1,986.0,6185.0,67.0,0.0,0.0,0.0,
1787672902.231399,9.000059,1,1106.0,7824.0,76.0,0.0,0.0,0.0,
1787672903.231398,10.000058,1,1241.0,9737.0,84.0,0.0,0.0,0.0,
1787672904.231401,11.000061,1,1361.0,11857.0,93.0,0.0,0.0,0.0,
1787672905.231409,12.000069,1,1604.0,13970.0,101.0,0.0,8.0,0.0,
1787672906.231415,13.000076,1,1865.0,16376.0,109.0,0.0,17.0,0.0,
1787672907.231405,14.000066,1,2162.0,18975.0,117.0,0.0,25.0,0.0,
1787672908.231412,15.000072,1,2426.0,21892.0,127.0,0.0,33.0,0.0,
1787672909.231400,16.000061,1,2723.0,24885.0,134.0,0.0,42.0,0.0,
1787672910.231413,17.000073,1,2987.0,28211.0,143.0,0.0,51.0,0.0,
1787672911.231405,18.000066,1,3284.0,31594.0,151.0,0.0,59.0,0.0,
1787672912.231408,19.000069,1,3548.0,35167.0,161.0,0.0,67.0,0.0,
1787672913.231408,20.000068,1,3845.0,39104.0,168.0,0.0,76.0,0.0,
1787672914.231406,21.000067,1,4109.0,43073.0,177.0,0.0,84.0,0.0,
1787672915.231406,22.000067,1,4390.0,47057.0,185.0,0.0,92.0,0.0,
1787672916.231408,23.000068,1,4744.0,51211.0,193.0,0.0,107.0,0.0,
1787672917.231406,24.000067,1,5173.0,55748.0,201.0,0.0,124.0,0.0,
1787672918.231403,25.000063,1,5573.0,60482.0,212.0,0.0,140.0,0.0,
1787672919.231405,26.000066,1,5990.0,65197.0,220.0,0.0,156.0,0.0,
1787672920.231407,27.000067,1,6390.0,70096.0,228.0,0.0,172.0,0.0,
1787672921.231407,28.000067,1,6840.0,75413.0,235.0,0.0,190.0,0.0,
1787672922.231410,29.000070,1,7240.0,80926.0,244.0,0.0,206.0,0.0,
1787672923.231401,30.000061,1,7657.0,86389.0,252.0,0.0,222.0,0.0,
1787672924.231402,31.000062,1,7955.0,92238.0,256.0,0.0,238.0,0.0,
1787672925.231416,32.000076,1,8252.0,98094.0,254.0,0.0,256.0,0.0,
1787672926.231411,33.000071,1,8500.0,103693.0,254.0,0.0,272.0,0.0,
1787672927.231411,34.000071,1,8797.0,109548.0,253.0,0.0,290.0,0.0,
1787672928.231414,35.000074,1,9215.0,115122.0,255.0,0.0,317.0,0.0,
1787672929.231412,36.000072,1,9665.0,120962.0,253.0,0.0,343.0,0.0,
1787672930.231477,37.000138,1,10065.0,126798.0,254.0,0.0,367.0,0.0,
1787672931.231412,38.000073,1,10482.0,132382.0,253.0,0.0,392.0,0.0,
1787672932.231429,39.000090,1,10882.0,138205.0,253.0,0.0,416.0,0.0,
1787672933.231415,40.000075,1,11299.0,143802.0,255.0,0.0,441.0,0.0,
1787672934.231411,41.000072,1,11699.0,149385.0,255.0,0.0,465.0,0.0,
1787672935.231417,42.000078,1,12098.0,155230.0,254.0,0.0,488.0,0.0,
1787672936.231414,43.000074,1,12362.0,161338.0,256.0,0.0,504.0,0.0,
1787672937.231412,44.000072,1,12659.0,167193.0,254.0,0.0,522.0,0.0,
1787672938.231415,45.000075,1,12940.0,173047.0,254.0,0.0,539.0,0.0,
1787672939.231423,46.000083,1,13325.0,178629.0,254.0,0.0,564.0,0.0,
1787672940.231416,47.000077,1,13757.0,184467.0,253.0,0.0,590.0,0.0,
1787672941.231434,48.000095,1,14157.0,190303.0,255.0,0.0,614.0,0.0,
1787672942.231421,49.000081,1,14574.0,196141.0,254.0,0.0,640.0,0.0,
1787672943.231416,50.000077,1,14974.0,201724.0,255.0,0.0,664.0,0.0,
1787672944.231412,51.000073,1,15424.0,207816.0,254.0,0.0,690.0,0.0,
1787672945.231427,52.000088,1,15841.0,213400.0,253.0,0.0,715.0,0.0,
1787672946.231414,53.000074,1,16241.0,219238.0,254.0,0.0,740.0,0.0,
1787672947.231411,54.000072,1,16549.0,225092.0,254.0,0.0,756.0,0.0,
1787672948.231416,55.000076,1,16829.0,230958.0,255.0,0.0,772.0,0.0,
1787672949.231412,56.000072,1,17127.0,236547.0,254.0,0.0,789.0,0.0,
1787672950.231412,57.000072,1,17504.0,242389.0,254.0,0.0,812.0,0.0,
1787672951.231414,58.000074,1,17940.0,247971.0,253.0,0.0,837.0,0.0,
1787672952.231415,59.000075,1,18364.0,253808.0,256.0,0.0,861.0,0.0,
1787672953.231417,60.000078,1,18841.0,259647.0,253.0,0.0,888.0,0.0,
1787672954.231414,61.000074,1,19283.0,265484.0,253.0,0.0,913.0,0.0,
1787672955.231449,62.000110,1,19707.0,271067.0,253.0,0.0,937.0,0.0,
1787672956.231416,63.000077,1,20149.0,276904.0,255.0,0.0,962.0,0.0,
1787672957.231412,64.000073,1,20573.0,282488.0,254.0,0.0,986.0,0.0,
1787672958.231417,65.000078,1,20942.0,288592.0,254.0,0.0,1006.0,0.0,
1787672959.231475,66.000135,1,21222.0,294446.0,256.0,0.0,1022.0,0.0,
1787672960.231403,67.000063,1,21520.0,300047.0,254.0,0.0,1039.0,0.0,
1787672961.231560,68.000220,1,21800.0,305900.0,256.0,0.0,1055.0,0.0,
1787672962.231408,69.000068,1,22279.0,311477.0,253.0,0.0,1084.0,0.0,
1787672963.231407,70.000067,1,22703.0,317314.0,256.0,0.0,1108.0,0.0,
1787672964.231407,71.000067,1,23180.0,323153.0,253.0,0.0,1135.0,0.0,
1787672965.231407,72.000067,1,23604.0,328736.0,254.0,0.0,1159.0,0.0,
1787672966.231406,73.000066,1,24046.0,334573.0,253.0,0.0,1184.0,0.0,
1787672967.231407,74.000067,1,24488.0,340410.0,255.0,0.0,1209.0,0.0,
1787672968.231406,75.000066,1,24912.0,345993.0,255.0,0.0,1233.0,0.0,
1787672969.231405,76.000065,1,25335.0,351838.0,254.0,0.0,1256.0,0.0,
1787672970.231405,77.000066,1,25615.0,357946.0,256.0,0.0,1272.0,0.0,
